step,tag,value,source
53248,time/fps,53.0,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
53248,train/approx_kl,0.005336466245353222,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
53248,train/clip_fraction,0.0412190742790699,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
53248,train/clip_range,0.20000000298023224,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
53248,train/entropy_loss,-0.43600374460220337,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
53248,train/explained_variance,0.1398431658744812,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
53248,train/learning_rate,0.0003000000142492354,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
53248,train/loss,48.04941177368164,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
53248,train/policy_gradient_loss,-0.0042002503760159016,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
53248,train/value_loss,106.54912567138672,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
57344,time/fps,55.0,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
57344,train/approx_kl,0.004396099131554365,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
57344,train/clip_fraction,0.0347900390625,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
57344,train/clip_range,0.20000000298023224,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
57344,train/entropy_loss,-0.37550491094589233,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
57344,train/explained_variance,0.1670781970024109,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
57344,train/learning_rate,0.0003000000142492354,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
57344,train/loss,48.391273498535156,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
57344,train/policy_gradient_loss,-0.0037612689193338156,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
57344,train/value_loss,115.75741577148438,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
61440,time/fps,55.0,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
61440,train/approx_kl,0.0036616912111639977,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
61440,train/clip_fraction,0.02705891989171505,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
61440,train/clip_range,0.20000000298023224,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
61440,train/entropy_loss,-0.3508477807044983,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
61440,train/explained_variance,0.2529229521751404,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
61440,train/learning_rate,0.0003000000142492354,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
61440,train/loss,54.7578125,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
61440,train/policy_gradient_loss,-0.0028166337870061398,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
61440,train/value_loss,102.27276611328125,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
65536,time/fps,55.0,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
65536,train/approx_kl,0.0031292445491999388,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
65536,train/clip_fraction,0.02738443948328495,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
65536,train/clip_range,0.20000000298023224,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
65536,train/entropy_loss,-0.3630564510822296,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
65536,train/explained_variance,0.2205592393875122,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
65536,train/learning_rate,0.0003000000142492354,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
65536,train/loss,56.59435272216797,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
65536,train/policy_gradient_loss,-0.0034454248379915953,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
65536,train/value_loss,119.98363494873047,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
69632,time/fps,57.0,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
69632,train/approx_kl,0.003111958969384432,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
69632,train/clip_fraction,0.0356852225959301,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
69632,train/clip_range,0.20000000298023224,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
69632,train/entropy_loss,-0.3935125172138214,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
69632,train/explained_variance,0.15089833736419678,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
69632,train/learning_rate,0.0003000000142492354,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
69632,train/loss,48.92560958862305,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
69632,train/policy_gradient_loss,-0.0025423734914511442,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
69632,train/value_loss,101.97006225585938,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
73728,time/fps,56.0,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
